sku,titulo,variante,Unidad,Unidades x dosis,contenido,dosis_totales,confianza,fuente,evidencia
VHMX00390,"Vitamina B12 500 mcg de Swanson |  Producción de energía, combatiendo la fatiga - Favorece la función cerebral, contribu",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00392,"Ultra 5-HTP 100mg de Swanson  | Proporciona un descanso reparador, que ayuda a la relajación y buen estado de ánimo | 60",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00393,"Inositol 650mg de Swanson | Promueve la función Cerebral y Cognitiva, apoyando al equilibrio emocional | 100 cápsulas ve",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00394,"Saw Palmetto 540mg de Swanson | Bienestar masculino, que apoya el equilibrio hormonal | 100 y 250 cápsulas vegetales",100 cápsulas,Softgels,1,100,100,alta,texto,Tomar 1 cápsula blanda
VHMX02655,"Saw Palmetto 540mg de Swanson | Bienestar masculino, que apoya el equilibrio hormonal | 100 y 250 cápsulas vegetales",250 cápsulas,Softgels,1,250,250,alta,texto,Tomar 1 cápsula blanda
VHMX00396,"Saw Palmetto 160 mg de Swanson | Bienestar masculino, ayuda a mantener una próstata saludable | 120 cápsulas vegetales",120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00040,Super Omega 360 mg EPA + 240 mg DHA por cápsula de NOW Foods | Apoyo Cardiovascular | 240 Cápsulas blandas,240 cápsulas,Softgels,2,240,120,alta,texto,Tomar 2 cápsulas blandas
VHMX01286,"Test genético ""Gen Test"" de Nutrición + Envío",1 kit / Sin programa nutricional,N/A,,,,na,imagen,Test genético — no es consumible con porción
VHMX01287,Test genético de Skin Care + Envío,1 kit / Sin health-coaching,N/A,,,,na,imagen,Test genético — no es consumible con porción
VHMX00046,"Extracto de Ashwaganda 450mg de Now | Reduce Cortisol, Balance Hormonal| 90 Capsulas Vegetales",90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00047,Extracto de Ashwagandha de Now Foods | Apoya el manejo del estrés ocasional | 59 ml,59ml,Goteros,1,59,59,alta,imagen,"etiqueta: Serving Size 1 Dropperful (approx. 1 mL), Servings Per Container about 59, 2 FL. OZ. (59 mL)"
VHMX00052,Metil B-12 1000mcg de Now Foods  | Apoyo al Sistema Nervioso - Contribuye en la función cognitiva y la memoria | 100 pas,100 pastillas,Tabletas masticables,1,100,100,alta,imagen,"etiqueta: Serving Size 1 Lozenge, 100 Lozenges — pastillas para chupar/masticar, no tabletas tragables"
VHMX00064,Candida Support de Now Ácido Caprílico 500mg + Pau D'Arco 300mg + Aceite de orégano 200mg | Contribuye a la función inte,90 cápsulas,Cápsulas,2,90,45,alta,texto,Tomar 2 cápsulas
VHMX00079,Vitamina B2 100 mg Riboflavina de NOW | Suplemento Alimenticio | Potencia la Energía,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00086,Bisglicinato de Magnesio de Now Foods | Apoya el funcionamiento del sistema nervioso | Polvos 227 gr,227g,Cucharaditas,1,227,91,alta,imagen,"etiqueta: Serving Size 1 Level Teaspoon (approx 2.5g), Servings Per Container about 91, NET WT. 8 OZ. (227g)"
VHMX00105,"Melatonina 1mg de Now Foods | Apoya el sistema nervioso y la relajación, Favorece un ciclo de sueño saludable | 100 Cáps",100 tabletas,Tabletas,1,100,100,alta,texto,Tomar 1 tableta
VHMX00108,"Soy Isoflavones de Now Foods | Favorece la salud cardiovascular, Apoya el equilibrio hormonal natural | 120 Cápsulas",120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00111,Extracto de Equinácea de Now Foods | Apoyo al Sistema Inmune | 59 ml,59ml,Goteros,2,59,37,alta,imagen,"etiqueta: Serving Size 2 Droppersful (1.6 mL), Servings Per Container about 37, 2 FL. OZ. (59 mL)"
VHMX00497,Probiótico 5 Mil Millones de UFC con Calostro de Child Life - ChildBiotics  | Apoyo Inmunológico y Soporte Digestivo par,92 tabletas,Tabletas masticables,4,92,23,alta,imagen,"etiqueta: Serving Size 4 Tablets, Servings Per Container 23 — chewable tablets para niños, contenido 92 tabs"
VHMX00499,Aceite de hígado de bacalao para niños de Child Life | Favorece el desarrollo cerebral y cognitivo - Cardiovascular | Li,273ml,Cucharaditas,2,273,24,alta,imagen,"etiqueta: Serving Size 1/2 tsp / 1 tsp / 2 tsp; Servings 95/47/24 — dosis máxima (Children 4+ yrs) = 2 tsp, 24 servings"
VHMX00500,Multivitamínico + Zinc y Selenio en gomitas para niños de Child Life | Fortalece el Sistema Inmune | 27 cápsulas blandas,27 cápsulas,Gomitas,1,27,27,alta,imagen,"etiqueta: Serving Size 1 Tablet, Servings Per Container 27 — producto llamado 'SoftChew Gummies' en etiqueta; batch decía Cápsulas pero son gomitas masticables"
VHMX00501,"Vitamina C, D, Fruto de Saúco de Child Life | Diseñado para fortalecer el sistema inmunológico | 27 gomitas masticables ",27 gomitas,Gomitas,2,27,14,alta,imagen,"etiqueta: Serving Size 1 Tablet; 2 Tablets — max para teens 13+; Servings 27/About 14 — SoftChew Gummies; dosis máxima=2, ~14 porciones"
VHMX00398,"L-Glutamina 500mg de Swanson | Ayuda en la recuperación muscular, aumentando los niveles de energía | 100 cápsulas veget",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00400,DHEA 25mg de Swanson | Fortalecimiento Óseo y Promueve un envejecimiento saludable | 120 cápsulas vegetales,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00401,"Biotina 5000 mcg de Swanson| Promueve el Cuidado del Cabello, Piel y Uñas | 100 cápsulas vegetales",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00402,"Vitamina C con rosa mosqueta 500mg de Swanson |  Refuerza el sistema inmune, ayudando al cuerpo a defenderse contra enfe",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00403,"GABA + Melatonina Esencial para dormir con Valeriana y Pasiflora de Swanson | Proporciona un descanso y sueño reparador,",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula vegetal
VHMX00404,"Hongo Melena de León 500 mg de Swanson | Promueve la función cognitiva, la concentración y la memoria | 60 cápsulas vege",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00405,"Centella Asiática de Espectro Completo 435 mg de Swanson | Favorece la circulación saguínea, aumentando la energía y vit",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00407,Vitamina K2 100 mcg de Swanson | Esencial para la correcta coagulación sanguínea y para prevenir la calcificación arteri,30 cápsulas,Softgels,1,30,30,alta,texto,Tomar 1 cápsula blanda
VHMX00408,"Mezcla de Enzimas patentadas 28mg + Pancreatina 145mg y Bioperina 5mg de Swanson | Bienestar digestivo, ayuda a reducir ",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00410,Complejo de 14 Hongos Adaptógenos de Swanson | Soporte para la función del Sistema Inmunológico | 60 cápsulas veganas,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula vegetal
VHMX00411,Tongkat Ali 800mg por porción Swanson | Suplemento para Energía y Salud Hormonal,120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00412,"Extracto de Ginkgo Biloba estandarizado 30mg de Swanson | Promueve el funcionamiento cognitivo, concentración y memoria ",30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00413,Betacaroteno Vitamina A 25.000 UI 7500mcg de Swanson | Contribuye a mejorar la visión y mantener una piel saludable | 10,100 cápsulas,Softgels,1,100,100,alta,texto,Tomar 1 cápsula blanda
VHMX00414,"Ácido Fólico 800 mcg de Swanson |  Fortalece el sistema inmunológico, vital para la producción celular y del ADN| 250 cá",250 cápsulas,Cápsulas,1,250,250,alta,texto,Tomar 1 cápsula
VHMX00416,"Vitaminas del complejo B + Colina + Inositol + PABA de Swanson | Apoya un metabolismo saludable, con energía y vitalidad",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00418,Vitaminas del complejo B + Colina + Inositol + PABA de Swanson | Promueve un metabolismo saludable con energía y vitalid,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00419,"Biotina 5000 mcg de Swanson | Promueve el cuidado del cabello, piel y uñas | 30 cápsulas vegetales",30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00421,"Melatonina 3 mg de Swanson | Contribuye a reducir el insomnio, promoviendo un descanso reparador | 120 cápsulas vegetale",120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00422,"Enzimas Digestivas 545mg de Swanson | Bienestar del Sistema Digestivo, aumentando la absorción de nutrientes  | 90 cápsu",90 tabletas,Tabletas,1,90,90,alta,texto,Tomar 1 tableta
VHMX00423,"NAC (N-Acetil Cisteína) 600 mg de Swanson |  Ayuda a aumentar los niveles de glutatión, un antioxidante crucial en el cu",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00426,Epic Pro 25 Probiótico 30mil millones UFC de Swanson | Ayuda a equilibrar la flora intestinal y brinda apoyo al sistema,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula vegetal
VHMX00430,Probiótico 7 cepas específicas 9.8 mil millones de UFC para Mujeres de Swanson | Ayuda a equilibrar la flora vaginal - P,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar una cápsula
VHMX00116,L-Arginina 1000 mg de Now Foods | Contribuye en la recuperación muscular | 120 Tabletas,120 cápsulas,Tabletas,1,120,120,alta,imagen,etiqueta: Serving Size 1 Tablet — sin servings per container visible; calculado: 120 tabs ÷ 1 = 120 porciones
VHMX00117,L-Glutamina 500 mg de NOW Foods | Apoyo a Función Inmune | 120 Cápsulas Vegetales,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00118,L-Glutamina 1000 mg de NOW Sport - Apoya el sistema inmunológico | 120 cápsulas vegetales,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00120,Glutatión 500 mg con Extracto de Cardo Mariano y Ácido Alfa Lipoico de Now Foods | 30 y 60 Cápsulas Vegetales,30 Cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00121,Glutatión 500 mg con Extracto de Cardo Mariano y Ácido Alfa Lipoico de Now Foods | 30 y 60 Cápsulas Vegetales,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00122,L-Tirosina 500 mg Aminoácido de Now Foods | Apoya la Capacidad de Respuesta al Estrés | 120 Cápsulas,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00123,L-Tirosina 750 mg Aminoácido de Now Foods | Apoya la Capacidad de Respuesta al Estrés | 90 Cápsulas,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00124,Aminoácido L-TPF 500 mg de NOW Foods | Mejora el Estado de Ánimo y el Sueño | 120 Cápsulas Veganas,120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00126,Colina 250 mg e Inositol 250 mg de NOW Foods | Apoya la Transmisión Nerviosa y el Metabolismo de Ácidos Grasos | 100 Cáp,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00127,"Inositol 500 mg para el Apoyo la Función  Celular de Now Foods | Cápsulas Vegetales, 100 Unidades",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00128,Inositol en Polvo 730 mg de Now Foods | Mantenimiento de la función celular y el equilibrio de calcio dentro de las célu,227g,Cápsulas vegetales,1,227,,media,imagen,"etiqueta visible: Serving Size 1 Veg Capsule, Inositol 500mg — CONTRADICE batch (unidad=Cucharaditas); las imágenes muestran frasco de cápsulas, no polvo. contenido en gramos no aplica a cápsulas — dosis_totales no determinable sin count de cápsulas"
VHMX00131,"Tribulus terrestris 1,000 mg + Calcio 130 mg de NOW Sports | Extracto Estandarizado, Doble Fuerza | 90 tabletas",90 cápsulas,Tabletas,1,90,90,alta,imagen,"etiqueta: Serving Size 1 Tablet, 90 TABLETS visible en frente; calculado 90 ÷ 1 = 90 porciones"
VHMX00135,Mezcla enzimática BioCore Optimum™ - Optimal Digestive System de NOW Foods | Favorece la absorción eficiente de nutrient,90 cápsulas,Cápsulas,2,90,45,alta,texto,Tomar 2 cápsulas
VHMX00140,"Enzimas vegetales, con lactasa, proteasa, papaína y bromelina de Now Foods | Apoya la digestión saludable | 120 cápsulas",120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00142,Coenzima Q10 (CoQ10) 200 mg de NOW Foods | Apoyo Cardiovascular y Producción de Energía Celular | 60 cápsulas vegetales,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula vegetal
VHMX00144,"ForsLean, Super Citrimax, L-Carnitina y Té Verde - Apoyo Dietético de Now Foods | Energía Celular | 120 Cápsulas Vegetal",120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00145,"Extracto de plantas antioxidantes, Super Antioxidantes de  NOW Foods | Apoya la función cerebral y la memoria | 120 cáps",120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX01178,"Colágeno Hidrolizado + Ácido Hialurónico con Antioxidantes, Vitaminas y Omegas 24g por porción de Silvia Strauss",1200g,Medidas,24,1200,50,alta,imagen,"etiqueta nutrimental: Tamaño de la Porción 24g, Porciones por envase 50; Cont. Neto 1,200g — unidad corregida a Medidas (scoop de polvo)"
VHMX01179,"Colágeno Hidrolizado + Ácido Hialurónico con Antioxidantes, Vitaminas y Omegas 24g por porción de Silvia Strauss",24g,Sticks,1,24,1,alta,imagen,"imagen del empaque: '20 sobres de 24gr' — variante es un solo stick/sobre de 24g; unidad=Sticks, dosis=1 sobre, contenido=24g, dosis_totales=1"
VHMX00147,"Resveratrol con extracto de vino tinto, 200 mg de NOW Foods | Favorece el Antienvejecimiento Celular | 60 cápsulas vegan",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00148,"Colesterol Pro™ con Bergamota 500mg y Policosanol 10mg de NOW Foods | Apoyo Cardiovascular, Niveles Saludables de Colest",120 tabletas,Tabletas,2,120,60,alta,texto,Tomar 2 tabletas
VHMX00149,Extracto de Boswellia 500 mg por porción + Cúrcuma | Respuesta Inmunitaria Equilibrada de NOW Foods | 120 cápsulas veget,120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00150,Extracto de Boswellia 500mg de NOW Foods | Apoya una respuesta inmune equilibrada | 90 cápsulas,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX01180,"Proteína de origen vegetal Plant Based Vainilla, Silvia Strauss | Diseñado para apoyar la función y el desarrollo muscul",900g,Medidas,1,900,30,alta,imagen,"etiqueta nutrimental: Tamaño de la porción 30g (1 scoop), Porciones por envase 30; contenido 900g"
VHMX00151,Curcumina de Extracto de Cúrcuma 95% + Curcuminoides 665 mg por cápsula  de NOW Foods | Ayuda a mantener la salud articu,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX01181,"Omega 3 EPA - DHA + Vitamina E 1400mg, Hello Vitality! Silvia Strauss | Apoyo Cardiovascular, Ocular y Cerebral con prop",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00153,Aceite de Orégano 181 mg de Now Foods| Contribuye al equilibrio de la flora intestinal | 90 cápsulas blandas,90 cápsulas,Softgels,1,90,90,alta,texto,Tomar 1 cápsula blanda
VHMX01182,Probióticos 60 Billones 11 Cepas 650mg Hello Gut Health! Silvia Strauss | Formulado para apoyar la función intestinal y,90 cápsulas,Cápsulas,2,90,45,alta,texto,Tomar 2 cápsulas
VHMX01183,"Vitamina D3 y K2 con Aceite de aguacate, Linaza y Germen de Trigo 650mg de Silvia Strauss | 110 cápsulas vegetales",110 cápsulas,Cápsulas,1,110,110,alta,texto,Tomar 1 cápsula
VHMX01184,Vitamina C Hello Radiance! Silvia Strauss | Refuerza el sistema inmune de forma natural | 100 cápsulas vegetales,100 cápsulas,Tabletas,2,100,50,alta,imagen,"etiqueta: Tamaño de la porción 2 cápsulas (2000mg), Porciones por envase: 100 cápsulas — frente dice '100 Tabletas | 600mg cada una'; dosis_totales=100÷2=50"
VHMX00247,Magnesio 500mg de Life Extension | Fortalecimiento Muscular y Apoyo Cardiovascular | 100 cápsulas vegetales,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00248,Súper Selenio 200mcg + Vitamina E de Life Extension | Apoya la función metabólica y cardiovascular | 100 cápsulas vegeta,100 cápsulas,Cápsulas vegetales,1,100,100,alta,texto,Tomar 1 cápsula vegetariana
VHMX00249,Zinc Caps de alta potencia 50mg de Life Extensión | Apoyo Cardiovascular y del Sistema Inmune | 90 cápsulas vegetarianas,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00250,Omega-3 con EPA - DHA 2000mg de Life Extension + Lignanos de Sésamo y Extracto de Oliva | Promueve la función cerebral y,60 cápsulas,Softgels,2,60,30,alta,texto,Tomar 2 cápsulas blandas
VHMX00251,NAD+ 300 mg con Resveratrol de Life Extension | Regenerador celular - Contribuye a aumentar y potenciar la energía y la,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00252,Extracto de Té Verde 725mg de Life Extension | Promueve la función Metabólica y Antioxidante | 100 cápsulas vegetales,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00255,Clovinol 250mg y Delphinol 200mg de Life Extension Protector Glucémico™ | Optimizado para regular glucosa después de las,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00256,Multivitamínico - Mezcla de fórmula para niños de Life Extension | Contribuye a reforzar el sistema inmunológico infanti,120 cápsulas,Tabletas masticables,2,120,60,alta,imagen,"etiqueta: Serving Size 2 Tablets, Servings Per Container 60; 120 tabs total"
VHMX00258,NAD+ Regenerador celular 300 mg de Life extension | Ayuda en la producción de energía celular y el funcionamiento óptimo,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00154,Extracto de Palma Enana Americana 320 mg de NOW Foods con aceite de semilla de calabaza | Soporte para la función de la,90 cápsulas,Softgels,1,90,90,alta,texto,Tomar 1 cápsula blanda
VHMX00155,Extracto de Bayas de Palma Enana Americana 550 mg de NOW Foods | Soporte para la Función de la Próstata | 100 Cápsulas V,100 cápsulas,Cápsulas vegetales,2,100,50,alta,texto,Tomar 2 cápsulas vegetales
VHMX00432,Vitamina C 1000 mg con Rosa Mosqueta Swanson  | Apoya el sistema inmunológico y ayuda en la absorción de hierro | 90 cáp,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00156,Rhodiola 500 mg - Adaptógeno Natural de NOW Foods | Extracto Estandarizado al 3% de Rosavinas | 60 Cápsulas Vegetales,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00436,L-Arginina 850 mg de Swanson |  Apoyo Cardiovascular y del Sistema Inmunológico que proporciona energía y resistencia |,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar una cápsula
VHMX00157,"Hongos con Biomasa Micelial y Extracto de Astrágalo, 3.5 oz (99 g) de NOW Foods - Polvo Inmuno Renovador Vegano | Apoyo ",99g,Cucharaditas,1,99,47,alta,imagen,"etiqueta: Serving Size 1 Level Teaspoon (approx. 2.1g), Servings Per Container about 47; NET WT. 3.5 oz (99g)"
VHMX00158,"Aceite de Orégano 30ml, 100% Puro de NOW Foods Essential Oils | Aceite Esencial para Revitalizar Cuerpo y Mente",30ml,N/A,,,,na,imagen,"Aceite esencial de orégano 100% puro NOW Essential Oils — uso aromático/tópico, sin tabla nutricional de porción consumible. No aplica sistema de dosis."
VHMX00159,L-Teanina 100 mg con Té Verde Descafeinado de NOW Foods | Apoya la función cognitiva saludable | 90 Cápsulas Vegetariana,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00160,L-Teanina Doble Fuerza 200 mg de NOW Foods con Inositol | Ayuda a mantener la función cognitiva | 120 Cápsulas Vegetales,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00438,"MSM, Extracto de cola de caballo y Colina | Soporte para Cabello, Piel y Uñas, Aporta nutrientes esenciales | 60 Tableta",60 tabletas,Tabletas,1,60,60,alta,texto,Tomar una tableta
VHMX00162,"Niacinamida 500 mg, Vitamina B-3 No Flush de NOW Foods | Apoya el sistema nervioso | 100 Cápsulas Vegetales",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00433,Resveratrol 100 mg de Swanson | Apoyo cardiovascular y proporciona potentes beneficios antioxidantes | 30 cápsulas veget,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00163,"Biotina Extra Fuerte 10 mg (10,000 mcg) de Now Foods | Soporte para la Producción de Energía | 120 cápsulas vegetales",120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX00435,"GABA 250 mg de Swanson | Soporte para la relajación, sueño y descanso | 60 cápsulas vegetales",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar una cápsula
VHMX00164,Cristales de Vitamina C Ácido Ascórbico en Polvo de NOW Foods | Apoya la función inmunológica | 227 g,227 gr,Cucharaditas,,227,413,media,imagen,"etiqueta: Serving Size 1/4 Level Teaspoon (1.1g), Servings Per Container about 413. La dosis es fracción (1/4) y no puede expresarse como entero; dosis_totales=413 confirmado. Contenido 227g sin cambio."
VHMX00169,"Aceite de Hígado de Bacalao 1,000 mg de Now Foods | Apoya la función cardiovascular | 90 cápsulas blandas",90 cápsulas,Softgels,1,90,90,alta,texto,Tomar 1 cápsula blanda
VHMX00170,"Aceite de ajo 1500 mg Garlic Oil de NOW Foods | Favorece la función cardiovascular, contribuye al bienestar inmunológico",100 cápsulas,Softgels,3,100,33.3,alta,texto,Tomar 3 cápsulas blandas
VHMX00171,"Creatina Monohidratada Pura en Polvo 5,000 mg por porción | Aumenta la Masa Muscular | 45 servicios de NOW Sports",227g,Cucharaditas,2,227,45,alta,imagen,"etiqueta: Serving Size 1 1/2 Level Teaspoons (approx. 5g), Servings Per Container about 45. Rango máximo redondeado: 2 cucharaditas. Batch traía Gramos/5 pero etiqueta indica cucharaditas."
VHMX00439,Vinagre de Sidra de Manzana 200mg de Swanson | Formulado para apoyar la detoxificación del cuerpo | 120 tabletas vegetal,120 tabletas,Tabletas,1,120,120,alta,texto,Tomar una tableta
VHMX00172,"Té Verde con 700 mg de Extracto de Té Verde, 350 mg de EGCG de NOW Foods | Apoya un metabolismo saludable y activo | 90 ",90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00440,Garcinia Cambogia 250 mg de Swanson |  Contribuye a mejorar el metabolismo | 120 cápsulas vegetales,120 cápsulas,Cápsulas vegetales,2,120,60,alta,texto,Tomar dos cápsulas vegetales
VHMX00173,"Polen de Abeja 500 mg de NOW Foods | Suplemento Nutricional Natural, Fuente Rica en Nutrientes y Antioxidantes | Apoya l",90 cápsulas,Cápsulas,2,90,45,alta,texto,Tomar 2 cápsulas
VHMX00441,Complejo Supremo de DHEA con Zinc y plantas de Swanson | Apoyo en la Vitalidad Sexual | 45 cápsulas vegetales,45 tabletas,Tabletas,1,45,45,alta,texto,Tomar 1 tableta
VHMX00444,Cardo Mariano 700mg + Diente de León 250mg de Swanson | Proporciona Bienestar Digestivo y Desintoxicación | 120 cápsulas,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar una cápsula
VHMX00174,D-Mannosa 500 mg de NOW Foods | Apoya el Tracto Urinario Saludable | 120 Cápsulas Vegetales,120 cápsulas,Cápsulas,3,120,40,alta,texto,Tomar 3 cápsulas
VHMX00175,"Inulina Orgánica Certificada en Polvo, Prebiótico de NOW Foods | Apoyo Intestinal y Bajo Índice Glucémico | Polvos 227g",227g,Cucharaditas,1,227,81,alta,imagen,"etiqueta: Serving Size 1 Level Teaspoon (approx. 2.8g), Servings Per Container about 81. Confirma batch."
VHMX00176,"Colágeno BioCell Hidrolizado Tipo II 1,000 mg de Now Foods |  Favorece la flexibilidad de articulaciones, Apoya la hidra",120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00179,Ubiquinol 100 mg - CoQ10 de NOW Foods | Activo de Alta Biodisponibilidad para el Apoyo Cardiovascular y Protección Antio,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00259,"Boro, complejo de quelato avanzado 3mg de Life Extension | Fortalecimiento Óseo | 100 cápsulas vegetarianas",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula vegetal
VHMX01288,"Vitamina C-1000 con Rosa Mosqueta y Bioflavonoides, 1000 mg, de NOW Foods | Protección Antioxidante para el Sistema Inmu",100 cápsulas,Tabletas,1,100,100,alta,imagen,etiqueta: Serving Size 1 Tablet. Contenido 100 tabletas. dosis_totales calculado: 100÷1=100. Confirma batch.
VHMX00630,Probiótico Infantil 8.33 mg - 2.5 mil millones de UFC de Mary Ruth's | Apoyo para el Bienestar Digestivo de los Infantes,60 gomitas,Gomitas,1,60,60,alta,texto,Tomar 1 gomita
VHMX00265,Multivitamínico One Per Day de Life Extension | Apoyo para la función Inmunológica y Cardiovascular | 60 tabletas vegeta,60 tabletas,Tabletas,1,60,60,alta,texto,Tomar 1 tableta
VHMX00260,Taurina 1000mg de Life Extension | Apoya la función Cardiovascular y el equilibrio electrolítico | 90 cápsulas vegetaria,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula vegetal
VHMX00269,"Pregnenolone 100 mg de Life Extension | Contribuye a memoria y balance hormonal | 100 cápsulas vegetales sin Gluten, Ni ",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00261,TMG 1000 mg por porción de Life Extension | Apoyo para el funcionamiento cardiovascular y hepático | 60 cápsulas liquida,60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00262,"MaquiBright 60 mg, Apoyo para Lágrimas de Life Extension | Promueve la Producción Saludable de Lágrimas y la Hidratación",30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula vegetal
VHMX00493,"Vitamina C, Zinc, Amla, Semillas de uva  - Antialérgico para niños de Child Life | Apoyo Inmunitario | 118 ml fórmula lí",118 ml,Cucharaditas,2,118,12,alta,imagen,etiqueta: Serving Size 1 tsp (5mL); 2 tsp (10mL) — dos rangos por edad. Regla: máximo = 2 cucharaditas. Servings Per Container: About 24; 12 → con dosis máxima = 12 porciones.
VHMX00333,Citrato de Magnesio + Calcio + Potasio Max-Hydrate Endurance de Trace Minerals | Rehidrata tras ejercicio intenso | 10 t,10 tabletas,Tabletas,1,10,10,alta,texto,Tomar 1 tableta
VHMX02661,Citrato de Magnesio + Calcio + Potasio Max-Hydrate Endurance de Trace Minerals | Rehidrata tras ejercicio intenso | 10 t,Caja 8 tubos,Tabletas,1,10,10,alta,texto,Tomar 1 tableta
